Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Prayagraj,42474.0,18.2,-3.0,14.9,6.0,90.0,25.45,81.7333
2024-01-05,Varanasi,42479.0,21.6,0.0,14.6,6.0,94.0,25.45,82.8667
2024-01-05,Varanasi BHU,42483.0,20.1,-1.0,13.0,5.0,92.0,25.3,83.0167
2024-01-05,Chapra,42488.0,23.1,2.0,12.4,12.0,80.0,25.7833,84.7333
2024-01-05,Patna-Airport,42492.0,22.8,1.0,12.2,3.0,90.0,25.6,85.1
2024-01-05,Bhagalpur,42498.0,21.7,1.0,11.7,0.0,83.0,25.2333,86.95
2024-01-05,Purnea,42500.0,22.7,0.0,9.9,1.0,82.0,25.7667,87.4667
2024-01-05,Malda,42503.0,23.4,0.0,14.3,2.0,69.0,25.0333,88.1333
2024-01-05,Cherrapunji,42515.0,20.7,5.0,7.2,1.0,86.0,25.25,91.7333
2024-01-05,Shillong,42516.0,16.5,2.0,4.9,-1.0,89.0,25.5667,91.8833
2024-01-05,Lumding,42523.0,29.6,7.0,11.3,4.0,75.0,25.75,93.1833
2024-01-05,Kohima,42527.0,18.5,,5.2,,70.0,25.6333,94.1667
2024-01-05,Deesa,42539.0,25.9,-1.0,10.5,0.0,28.0,24.2,72.2
2024-01-05,Mount Abu,42540.0,,,,,,24.6,72.7167
2024-01-05,Udaipur,42542.0,20.4,-3.0,6.8,0.0,63.0,24.6167,73.8833
2024-01-05,Chittorgarh,42546.0,,,8.0,2.0,,24.8833,74.6333
2024-01-05,Jhalawar,42555.0,,,,,,24.5333,76.1667
2024-01-05,Guna,42559.0,18.4,-6.0,13.9,6.0,90.0,24.65,77.3167
2024-01-05,Khajuraho,42567.0,16.6,-6.0,14.0,6.0,93.0,24.9833,79.9167
2024-01-05,Satna,42571.0,17.8,-5.0,14.9,7.0,86.0,24.5667,80.8333
2024-01-05,Rewa,42574.0,19.2,-4.0,14.2,7.0,83.0,24.5333,81.3
2024-01-05,Daltonganj,42587.0,26.0,2.0,13.4,5.0,74.0,24.05,84.0667
2024-01-05,Gaya,42591.0,23.2,1.0,10.6,3.0,73.0,24.75,84.95
2024-01-05,Dumka,42599.0,,,,,,24.2667,87.25
2024-01-05,Baharampur,42603.0,23.6,-1.0,12.6,1.0,74.0,24.1333,88.2667
2024-01-05,Kailashahar,42618.0,24.4,-2.0,12.4,1.0,83.0,24.3167,92.0
2024-01-05,Silchar,42619.0,26.8,2.0,14.6,3.0,70.0,24.8167,92.8
2024-01-05,Imphal,42623.0,21.3,0.0,6.6,3.0,71.0,24.7667,93.9
2024-01-05,Naliya,42631.0,27.1,-1.0,9.0,-1.0,30.0,23.25,68.85
